產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHA00526,單人票,個,NTD,新台幣,24,752.3750,752.3750,"18,057","18,960"
HUKHA00626,三人票,個,NTD,新台幣,12,"2,143.0000","2,143.0000","25,716","27,000"
HUKHA00726,愛心票,個,NTD,新台幣,10,376.2000,376.2000,"3,762","3,950"
HUKHB00125,卡片徽章組（3個一組）,個,NTD,新台幣,1,238.0000,238.0000,238,250
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,84,379.9643,379.9643,"31,917","33,516"
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,1,94.0000,94.0000,94,99
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,7,276.0000,276.0000,"1,932","2,030"
HUKHB00725,壓克力場景組 B款（統治者的祝福）,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,8,210.0000,210.0000,"1,680","1,760"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,5,210.0000,210.0000,"1,050","1,100"
HUKHB01125,角色壓克力立牌 (比司吉款）,個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,9,238.0000,238.0000,"2,142","2,250"
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,7,428.8571,428.8571,"3,002","3,150"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,2,276.0000,276.0000,552,580
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,4,276.0000,276.0000,"1,104","1,160"
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,6,238.1667,238.1667,"1,429","1,500"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,22,95.0909,95.0909,"2,092","2,200"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,9,112.4444,112.4444,"1,012","1,062"
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,33,142.8788,142.8788,"4,715","4,950"
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,個,NTD,新台幣,113,209.5929,209.5929,"23,684","24,849"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,335,142.9045,142.9045,"47,873","50,250"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,23,142.9130,142.9130,"3,287","3,450"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,17,817.5882,817.5882,"13,899","14,595"
HUKHB02825,角色抱枕 (小傑款）,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,2,429.0000,429.0000,858,900
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,3,752.0000,752.0000,"2,256","2,370"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,7,"1,202.4286","1,202.4286","8,417","8,840"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,4,562.0000,562.0000,"2,248","2,360"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,50,189.7600,189.7600,"9,488","9,980"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,2,238.0000,238.0000,476,500
HUKHD00125,名牌壓克力吊飾,個,NTD,新台幣,2,190.5000,190.5000,381,400
HUKHD00225,獵人識別證套（藍色星球）,個,NTD,新台幣,1,267.0000,267.0000,267,280
HUKHD00325,獵人識別證套（聖騎士的首飾）,個,NTD,新台幣,2,267.0000,267.0000,534,560
HUKHD00526,角色手機掛繩 - 小傑款,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHD00626,角色手機掛繩 - 奇犽款,個,NTD,新台幣,2,429.0000,429.0000,858,900
HUKHD00926,獵人執照行李識別證套,個,NTD,新台幣,9,371.0000,371.0000,"3,339","3,510"
HUKHD01126,壓克力吊飾(扭蛋),個,NTD,新台幣,3,143.0000,143.0000,429,450
HUKHD01226,卡片相片機(阿拉丁),個,NTD,新台幣,29,47.6207,47.6207,"1,381","1,450"
HUKHD02226,鎖鏈之鑰匙圈-HunterA款,個,NTD,新台幣,3,429.0000,429.0000,"1,287","1,350"
HUKHD02626,人物造型壓克力立牌-HunterD款(彼多),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD02726,壓克力燈座-HunterA款(奇犽),個,NTD,新台幣,2,618.5000,618.5000,"1,237","1,300"
HUKHD04226,燙銀T-shirt(奇犽)-Hunter_L,個,NTD,新台幣,2,618.5000,618.5000,"1,237","1,300"
HUKHD04426,燙銀T-shirt(奇犽)-Hunter_2XL,個,NTD,新台幣,1,619.0000,619.0000,619,650
HUKHD07326,透明小海報(2入)-Hunter_A款(傑+奇),個,NTD,新台幣,1,143.0000,143.0000,143,150
HUKHD07726,角色壓克力立牌-Hunter_E款(奇犽2),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD07826,角色壓克力立牌-Hunter_F款(酷拉皮卡),個,NTD,新台幣,1,209.0000,209.0000,209,220
HUKHD08026,角色壓克力立牌-Hunter_H款(西索2),個,NTD,新台幣,3,210.0000,210.0000,630,660
HUKHD08126,角色壓克力立牌-Hunter_I款(團長),個,NTD,新台幣,2,209.5000,209.5000,419,440
HUKHD08226,靠邊壓克力立牌-Hunter_A款(奇犽),個,NTD,新台幣,1,286.0000,286.0000,286,300
