產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHA00526,單人票,個,NTD,新台幣,11,752.3636,752.3636,"8,276","8,690"
HUKHA00626,三人票,個,NTD,新台幣,5,"2,143.0000","2,143.0000","10,715","11,250"
HUKHB00125,卡片徽章組（3個一組）,個,NTD,新台幣,8,238.0000,238.0000,"1,904","2,000"
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,222,379.9640,379.9640,"84,352","88,578"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,7,143.0000,143.0000,"1,001","1,050"
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,6,94.1667,94.1667,565,594
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,30,276.1000,276.1000,"8,283","8,700"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHB00725,壓克力場景組 B款（統治者的祝福）,個,NTD,新台幣,2,333.0000,333.0000,666,700
HUKHB00825,角色壓克力立牌 (小傑款）,個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,17,210.0000,210.0000,"3,570","3,740"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,7,210.0000,210.0000,"1,470","1,540"
HUKHB01125,角色壓克力立牌 (比司吉款）,個,NTD,新台幣,2,210.0000,210.0000,420,440
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,30,237.9333,237.9333,"7,138","7,500"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,7,275.8571,275.8571,"1,931","2,030"
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,18,275.9444,275.9444,"4,967","5,220"
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,13,238.0000,238.0000,"3,094","3,250"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,60,95.1333,95.1333,"5,708","6,000"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,28,114.1786,114.1786,"3,197","3,354"
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,76,142.9342,142.9342,"10,863","11,400"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,896,142.9096,142.9096,"128,047","134,400"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,20,142.8500,142.8500,"2,857","3,000"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,17,781.9412,781.9412,"13,293","13,953"
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,2,428.5000,428.5000,857,900
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,5,751.8000,751.8000,"3,759","3,950"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,14,"1,191.4286","1,191.4286","16,680","17,516"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,14,561.7857,561.7857,"7,865","8,260"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,50,190.1800,190.1800,"9,509","10,000"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,5,238.0000,238.0000,"1,190","1,250"
HUKHC00326,獵人購物袋(深藍),個,NTD,新台幣,65,85.0000,85.0000,"5,525","5,785"
HUKHD00125,名牌壓克力吊飾,個,NTD,新台幣,5,189.8000,189.8000,949,"1,000"
HUKHD00126,HunterxHunter T-shirt - L款,個,NTD,新台幣,3,848.0000,848.0000,"2,544","2,670"
HUKHD00225,獵人識別證套（藍色星球）,個,NTD,新台幣,7,267.0000,267.0000,"1,869","1,960"
HUKHD00226,HunterxHunter T-shirt - 2XL款,個,NTD,新台幣,3,847.3333,847.3333,"2,542","2,670"
HUKHD00325,獵人識別證套（聖騎士的首飾）,個,NTD,新台幣,5,267.0000,267.0000,"1,335","1,400"
HUKHD00326,磁吸式手機支架(隨機單入),個,NTD,新台幣,14,342.6429,342.6429,"4,797","5,040"
HUKHD00425,獵人識別證套（一坪海岸線）,個,NTD,新台幣,3,267.0000,267.0000,801,840
HUKHD00426,磁吸式手機支架(全6款),個,NTD,新台幣,1,"1,856.0000","1,856.0000","1,856","1,950"
HUKHD00626,角色手機掛繩 - 奇犽款,個,NTD,新台幣,2,428.5000,428.5000,857,900
HUKHD00826,角色手機掛繩 - 西索款,個,NTD,新台幣,2,428.5000,428.5000,857,900
HUKHD01026,貪婪之島行李箱貼紙,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHD01126,壓克力吊飾(扭蛋),個,NTD,新台幣,2,143.0000,143.0000,286,300
HUKHD01226,卡片相片機(阿拉丁),個,NTD,新台幣,42,47.6190,47.6190,"2,000","2,100"
HUKHD02626,人物造型壓克力立牌-HunterD款(彼多),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD03126,潮流全彩T-shirt(制約誓約)-Hunter_XL,個,NTD,新台幣,1,743.0000,743.0000,743,780
HUKHD03226,潮流全彩T-shirt(制約誓約)-Hunter_2XL,個,NTD,新台幣,1,743.0000,743.0000,743,780
HUKHD03726,拉霸吊飾鑰匙圈-HunterA款(小傑),個,NTD,新台幣,2,400.0000,400.0000,800,840
HUKHD03926,垂墜式壓克力鑰匙圈-HunterB款(酷拉皮卡+雷歐力),個,NTD,新台幣,1,171.0000,171.0000,171,180
HUKHD04726,B6筆記本-HunterA款,個,NTD,新台幣,11,190.0909,190.0909,"2,091","2,200"
HUKHD05026,銀箔書籤(4入)-HunterB款(綜),個,NTD,新台幣,11,114.0909,114.0909,"1,255","1,320"
HUKHD05126,木棉花福袋-A款,個,NTD,新台幣,2,"1,714.0000","1,714.0000","3,428","3,600"
HUKHD06326,潮流全彩T-shirt(拿酷戮)-Hunter_M,個,NTD,新台幣,1,742.0000,742.0000,742,780
HUKHD06526,潮流全彩T-shirt(拿酷戮)-Hunter_XL,個,NTD,新台幣,2,743.0000,743.0000,"1,486","1,560"
HUKHD06926,角色語錄鑰匙圈-HunterA款(波特克林),個,NTD,新台幣,9,238.1111,238.1111,"2,143","2,250"
HUKHD07426,透明小海報(2入)-Hunter_B款(酷+雷),個,NTD,新台幣,1,143.0000,143.0000,143,150
HUKHD07526,透明小海報(2入)-Hunter_C款(西+團),個,NTD,新台幣,11,143.0000,143.0000,"1,573","1,650"
HUKHD07626,角色壓克力立牌-Hunter_D款(小傑2),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD07726,角色壓克力立牌-Hunter_E款(奇犽2),個,NTD,新台幣,5,210.0000,210.0000,"1,050","1,100"
HUKHD07826,角色壓克力立牌-Hunter_F款(酷拉皮卡),個,NTD,新台幣,3,209.6667,209.6667,629,660
HUKHD07926,角色壓克力立牌-Hunter_G款(雷歐力),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD08026,角色壓克力立牌-Hunter_H款(西索2),個,NTD,新台幣,6,209.8333,209.8333,"1,259","1,320"
HUKHD08126,角色壓克力立牌-Hunter_I款(團長),個,NTD,新台幣,2,209.5000,209.5000,419,440
HUKHD08226,靠邊壓克力立牌-Hunter_A款(奇犽),個,NTD,新台幣,3,285.6667,285.6667,857,900
HUKHD08326,靠邊壓克力立牌-Hunter_B款(西索),個,NTD,新台幣,6,286.0000,286.0000,"1,716","1,800"
HUKHD08526,電競級滑鼠墊-Hunter_E款(小傑),個,NTD,新台幣,4,171.0000,171.0000,684,720
HUKHD08826,鏡面壓克力鑰匙圈-HunterA款(小傑),個,NTD,新台幣,1,171.0000,171.0000,171,180
HUKHD09026,鏡面壓克力鑰匙圈-HunterC款(蟻王),個,NTD,新台幣,2,171.0000,171.0000,342,360
HUKHD09126,鏡面壓克力鑰匙圈-HunterD款(彼多),個,NTD,新台幣,1,171.0000,171.0000,171,180
HUKHD09426,抽卡機(普泰),個,NTD,新台幣,256,47.6172,47.6172,"12,190","12,800"
HUKHD09526,盲抽炫彩大胸章-HunterA款(綜)(全13款),個,NTD,新台幣,38,114.2105,114.2105,"4,340","4,560"
HUKHD09626,造型隨身收納袋-Hunter_A款(獵人執照),個,NTD,新台幣,1,571.0000,571.0000,571,600
HUKHD09726,盲抽壓克力色紙(18x18CM)-Hunter_A款(綜)(全8款),個,NTD,新台幣,1,305.0000,305.0000,305,320
HUKHE00126,福袋A_集卡冊,個,NTD,新台幣,6,952.0000,952.0000,"5,712","6,000"
HUKHE00226,福袋B_小傑,個,NTD,新台幣,3,952.0000,952.0000,"2,856","3,000"
HUKHF00125,場景立牌(扭蛋),個,NTD,新台幣,20,142.8500,142.8500,"2,857","3,000"
HUKHF00225,卡片立牌(扭蛋),個,NTD,新台幣,52,142.8654,142.8654,"7,429","7,800"
HUKHI00526,貪婪之島貼紙(12款 隨機出貨）,個,NTD,新台幣,128,0.0000,0.0000,0,0
HUKHI00726,A3 PET海報,個,NTD,新台幣,50,0.0000,0.0000,0,0
