產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHA00526,單人票,個,NTD,新台幣,24,752.3333,752.3333,"18,056","18,960"
HUKHA00626,三人票,個,NTD,新台幣,5,"2,143.0000","2,143.0000","10,715","11,250"
HUKHA00726,愛心票,個,NTD,新台幣,2,376.0000,376.0000,752,790
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,89,379.7978,379.7978,"33,802","35,491"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,3,143.0000,143.0000,429,450
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,2,94.0000,94.0000,188,198
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,6,276.0000,276.0000,"1,656","1,740"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,1,334.0000,334.0000,334,350
HUKHB00825,角色壓克力立牌 (小傑款）,個,NTD,新台幣,5,209.8000,209.8000,"1,049","1,100"
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,7,209.8571,209.8571,"1,469","1,540"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,7,209.8571,209.8571,"1,469","1,540"
HUKHB01125,角色壓克力立牌 (比司吉款）,個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,11,238.0000,238.0000,"2,618","2,750"
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,5,428.6000,428.6000,"2,143","2,250"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,3,276.0000,276.0000,828,870
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,5,275.8000,275.8000,"1,379","1,450"
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,4,238.0000,238.0000,952,"1,000"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,22,95.0909,95.0909,"2,092","2,200"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,3,112.3333,112.3333,337,354
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,27,142.9259,142.9259,"3,859","4,050"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,267,142.5993,142.5993,"38,074","39,961"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,18,143.0000,143.0000,"2,574","2,700"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,5,807.2000,807.2000,"4,036","4,236"
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,3,752.0000,752.0000,"2,256","2,370"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,2,"1,158.0000","1,158.0000","2,316","2,432"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,4,554.7500,554.7500,"2,219","2,331"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,49,190.2449,190.2449,"9,322","9,800"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,2,238.0000,238.0000,476,500
HUKHD00125,名牌壓克力吊飾,個,NTD,新台幣,1,190.0000,190.0000,190,200
HUKHD00126,HunterxHunter T-shirt - L款,個,NTD,新台幣,2,848.0000,848.0000,"1,696","1,780"
HUKHD00225,獵人識別證套（藍色星球）,個,NTD,新台幣,1,267.0000,267.0000,267,280
HUKHD00226,HunterxHunter T-shirt - 2XL款,個,NTD,新台幣,1,848.0000,848.0000,848,890
HUKHD00325,獵人識別證套（聖騎士的首飾）,個,NTD,新台幣,1,267.0000,267.0000,267,280
HUKHD00326,磁吸式手機支架(隨機單入),個,NTD,新台幣,4,343.0000,343.0000,"1,372","1,440"
HUKHD00425,獵人識別證套（一坪海岸線）,個,NTD,新台幣,2,267.0000,267.0000,534,560
HUKHD00626,角色手機掛繩 - 奇犽款,個,NTD,新台幣,3,428.6667,428.6667,"1,286","1,350"
HUKHD00926,獵人執照行李識別證套,個,NTD,新台幣,5,371.0000,371.0000,"1,855","1,950"
HUKHD01026,貪婪之島行李箱貼紙,個,NTD,新台幣,4,333.0000,333.0000,"1,332","1,400"
HUKHD01126,壓克力吊飾(扭蛋),個,NTD,新台幣,6,142.8333,142.8333,857,900
HUKHD01226,卡片相片機(阿拉丁),個,NTD,新台幣,25,47.6000,47.6000,"1,190","1,250"
HUKHD01926,風險骰子抱枕-HunterA款,個,NTD,新台幣,9,706.3333,706.3333,"6,357","6,676"
HUKHD02026,貪婪之島壓克力卡片組-HunterA款(綜),個,NTD,新台幣,53,190.3585,190.3585,"10,089","10,600"
HUKHD03726,拉霸吊飾鑰匙圈-HunterA款(小傑),個,NTD,新台幣,1,400.0000,400.0000,400,420
HUKHD04226,燙銀T-shirt(奇犽)-Hunter_L,個,NTD,新台幣,1,619.0000,619.0000,619,650
HUKHD04526,金屬造型徽章-HunterA款(獵人執照),個,NTD,新台幣,14,171.1429,171.1429,"2,396","2,520"
HUKHD04726,B6筆記本-HunterA款,個,NTD,新台幣,1,190.0000,190.0000,190,200
HUKHD05026,銀箔書籤(4入)-HunterB款(綜),個,NTD,新台幣,3,114.0000,114.0000,342,360
HUKHD05826,潮流T-shirt(西索IMAGE)-Hunter_L,個,NTD,新台幣,1,572.0000,572.0000,572,600
HUKHD06326,潮流全彩T-shirt(拿酷戮)-Hunter_M,個,NTD,新台幣,1,743.0000,743.0000,743,780
HUKHD06526,潮流全彩T-shirt(拿酷戮)-Hunter_XL,個,NTD,新台幣,2,743.0000,743.0000,"1,486","1,560"
HUKHD06926,角色語錄鑰匙圈-HunterA款(波特克林),個,NTD,新台幣,6,238.0000,238.0000,"1,428","1,500"
HUKHD07726,角色壓克力立牌-Hunter_E款(奇犽2),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD07826,角色壓克力立牌-Hunter_F款(酷拉皮卡),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD08026,角色壓克力立牌-Hunter_H款(西索2),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD08126,角色壓克力立牌-Hunter_I款(團長),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD08426,靠邊壓克力立牌-Hunter_C款(彼多),個,NTD,新台幣,1,285.0000,285.0000,285,300
HUKHD09026,鏡面壓克力鑰匙圈-HunterC款(蟻王),個,NTD,新台幣,2,171.0000,171.0000,342,360
HUKHD09226,盲抽透明書籤-HunterA款(念能力)(全16款),個,NTD,新台幣,21,76.1429,76.1429,"1,599","1,680"
HUKHD09426,抽卡機(普泰),個,NTD,新台幣,49,47.6327,47.6327,"2,334","2,450"
HUKHD09726,盲抽壓克力色紙(18x18CM)-Hunter_A款(綜)(全8款),個,NTD,新台幣,2,305.5000,305.5000,611,640
HUKHE00126,福袋A_集卡冊,個,NTD,新台幣,1,952.0000,952.0000,952,"1,000"
HUKHE00226,福袋B_小傑,個,NTD,新台幣,1,953.0000,953.0000,953,"1,000"
HUKHF00125,場景立牌(扭蛋),個,NTD,新台幣,14,142.8571,142.8571,"2,000","2,100"
HUKHF00225,卡片立牌(扭蛋),個,NTD,新台幣,14,142.8571,142.8571,"2,000","2,100"
HUKHI00526,貪婪之島貼紙(12款 隨機出貨）,個,NTD,新台幣,48,0.0000,0.0000,0,0
HUKHI00626,獵人大提袋,個,NTD,新台幣,35,0.0000,0.0000,0,0
HUKHI00726,A3 PET海報,個,NTD,新台幣,22,0.0000,0.0000,0,0
