產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHA00526,單人票,個,NTD,新台幣,12,752.2500,752.2500,"9,027","9,480"
HUKHA00626,三人票,個,NTD,新台幣,9,"2,143.0000","2,143.0000","19,287","20,250"
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,47,379.9574,379.9574,"17,858","18,753"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,4,143.0000,143.0000,572,600
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,6,94.0000,94.0000,564,594
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,6,276.0000,276.0000,"1,656","1,740"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,2,333.0000,333.0000,666,700
HUKHB00825,角色壓克力立牌 (小傑款）,個,NTD,新台幣,3,209.6667,209.6667,629,660
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,9,209.8889,209.8889,"1,889","1,980"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,3,210.0000,210.0000,630,660
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,8,238.1250,238.1250,"1,905","2,000"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,1,276.0000,276.0000,276,290
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,3,276.0000,276.0000,828,870
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,8,238.0000,238.0000,"1,904","2,000"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,28,95.1071,95.1071,"2,663","2,800"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,2,111.5000,111.5000,223,234
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,34,143.0000,143.0000,"4,862","5,100"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,353,142.8895,142.8895,"50,440","52,950"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,9,142.8889,142.8889,"1,286","1,350"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,6,763.0000,763.0000,"4,578","4,807"
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,3,752.0000,752.0000,"2,256","2,370"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,5,"1,157.8000","1,157.8000","5,789","6,078"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,7,562.0000,562.0000,"3,934","4,130"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,50,190.3400,190.3400,"9,517","10,000"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,2,237.5000,237.5000,475,500
HUKHC00326,獵人購物袋(深藍),個,NTD,新台幣,20,85.0000,85.0000,"1,700","1,780"
HUKHD00225,獵人識別證套（藍色星球）,個,NTD,新台幣,3,267.0000,267.0000,801,840
HUKHD00325,獵人識別證套（聖騎士的首飾）,個,NTD,新台幣,1,267.0000,267.0000,267,280
HUKHD00326,磁吸式手機支架(隨機單入),個,NTD,新台幣,4,343.0000,343.0000,"1,372","1,440"
HUKHD00425,獵人識別證套（一坪海岸線）,個,NTD,新台幣,1,267.0000,267.0000,267,280
HUKHD00526,角色手機掛繩 - 小傑款,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHD00626,角色手機掛繩 - 奇犽款,個,NTD,新台幣,3,428.6667,428.6667,"1,286","1,350"
