產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHA00526,單人票,個,NTD,新台幣,37,752.3784,752.3784,"27,838","29,230"
HUKHA00626,三人票,個,NTD,新台幣,11,"2,142.9091","2,142.9091","23,572","24,750"
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,88,379.9886,379.9886,"33,439","35,112"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,3,143.0000,143.0000,429,450
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,4,94.0000,94.0000,376,396
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,13,275.9231,275.9231,"3,587","3,770"
HUKHB00825,角色壓克力立牌 (小傑款）,個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,12,210.0000,210.0000,"2,520","2,640"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,7,209.8571,209.8571,"1,469","1,540"
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,7,238.0000,238.0000,"1,666","1,750"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,3,276.0000,276.0000,828,870
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,5,276.0000,276.0000,"1,380","1,450"
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,8,238.0000,238.0000,"1,904","2,000"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,17,95.0588,95.0588,"1,616","1,700"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,2,114.0000,114.0000,228,240
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,10,143.0000,143.0000,"1,430","1,500"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,332,142.8373,142.8373,"47,422","49,778"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,10,142.9000,142.9000,"1,429","1,500"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,5,786.8000,786.8000,"3,934","4,129"
HUKHB02825,角色抱枕 (小傑款）,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,3,428.6667,428.6667,"1,286","1,350"
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,6,752.0000,752.0000,"4,512","4,740"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,4,"1,196.7500","1,196.7500","4,787","5,028"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,4,562.0000,562.0000,"2,248","2,360"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,50,190.4400,190.4400,"9,522","10,000"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,5,238.0000,238.0000,"1,190","1,250"
HUKHC00326,獵人購物袋(深藍),個,NTD,新台幣,32,85.0000,85.0000,"2,720","2,848"
HUKHD00126,HunterxHunter T-shirt - L款,個,NTD,新台幣,3,848.0000,848.0000,"2,544","2,670"
HUKHD00225,獵人識別證套（藍色星球）,個,NTD,新台幣,2,267.0000,267.0000,534,560
HUKHD00326,磁吸式手機支架(隨機單入),個,NTD,新台幣,2,342.0000,342.0000,684,720
HUKHD00425,獵人識別證套（一坪海岸線）,個,NTD,新台幣,2,267.0000,267.0000,534,560
HUKHD00626,角色手機掛繩 - 奇犽款,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHD00726,角色手機掛繩 - 比司吉款,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHD00826,角色手機掛繩 - 西索款,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHD01026,貪婪之島行李箱貼紙,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHD01126,壓克力吊飾(扭蛋),個,NTD,新台幣,8,142.8750,142.8750,"1,143","1,200"
HUKHD01226,卡片相片機(阿拉丁),個,NTD,新台幣,19,47.6316,47.6316,905,950
HUKHD01326,立牌(角色壓克力)-HunterA款(小傑),個,NTD,新台幣,1,209.0000,209.0000,209,220
HUKHD02026,貪婪之島壓克力卡片組-HunterA款(綜),個,NTD,新台幣,19,189.7895,189.7895,"3,606","3,790"
HUKHD02126,BOOK收藏冊-HunterA款,個,NTD,新台幣,3,"1,600.0000","1,600.0000","4,800","5,040"
HUKHD02226,鎖鏈之鑰匙圈-HunterA款,個,NTD,新台幣,7,428.4286,428.4286,"2,999","3,150"
HUKHD03026,潮流全彩T-shirt(制約誓約)-Hunter_L,個,NTD,新台幣,1,743.0000,743.0000,743,780
HUKHD03226,潮流全彩T-shirt(制約誓約)-Hunter_2XL,個,NTD,新台幣,1,743.0000,743.0000,743,780
HUKHD03726,拉霸吊飾鑰匙圈-HunterA款(小傑),個,NTD,新台幣,1,400.0000,400.0000,400,420
HUKHD04526,金屬造型徽章-HunterA款(獵人執照),個,NTD,新台幣,7,171.1429,171.1429,"1,198","1,260"
HUKHD04726,B6筆記本-HunterA款,個,NTD,新台幣,2,190.0000,190.0000,380,400
HUKHD05026,銀箔書籤(4入)-HunterB款(綜),個,NTD,新台幣,2,114.0000,114.0000,228,240
HUKHD06326,潮流全彩T-shirt(拿酷戮)-Hunter_M,個,NTD,新台幣,1,743.0000,743.0000,743,780
HUKHD06426,潮流全彩T-shirt(拿酷戮)-Hunter_L,個,NTD,新台幣,1,742.0000,742.0000,742,780
HUKHD07326,透明小海報(2入)-Hunter_A款(傑+奇),個,NTD,新台幣,1,143.0000,143.0000,143,150
HUKHD07426,透明小海報(2入)-Hunter_B款(酷+雷),個,NTD,新台幣,1,143.0000,143.0000,143,150
HUKHD07526,透明小海報(2入)-Hunter_C款(西+團),個,NTD,新台幣,5,143.0000,143.0000,715,750
HUKHD07826,角色壓克力立牌-Hunter_F款(酷拉皮卡),個,NTD,新台幣,1,210.0000,210.0000,210,220
HUKHD08026,角色壓克力立牌-Hunter_H款(西索2),個,NTD,新台幣,2,210.0000,210.0000,420,440
HUKHD08226,靠邊壓克力立牌-Hunter_A款(奇犽),個,NTD,新台幣,1,286.0000,286.0000,286,300
HUKHD08526,電競級滑鼠墊-Hunter_E款(小傑),個,NTD,新台幣,1,171.0000,171.0000,171,180
HUKHD08826,鏡面壓克力鑰匙圈-HunterA款(小傑),個,NTD,新台幣,2,171.0000,171.0000,342,360
HUKHD09026,鏡面壓克力鑰匙圈-HunterC款(蟻王),個,NTD,新台幣,2,171.0000,171.0000,342,360
HUKHD09126,鏡面壓克力鑰匙圈-HunterD款(彼多),個,NTD,新台幣,1,171.0000,171.0000,171,180
