產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHA00526,單人票,個,NTD,新台幣,31,752.3226,752.3226,"23,322","24,490"
HUKHA00626,三人票,個,NTD,新台幣,13,"2,143.0000","2,143.0000","27,859","29,250"
HUKHA00726,愛心票,個,NTD,新台幣,10,376.2000,376.2000,"3,762","3,950"
HUKHB00125,卡片徽章組（3個一組）,個,NTD,新台幣,2,238.0000,238.0000,476,500
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,52,379.9231,379.9231,"19,756","20,748"
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,6,94.1667,94.1667,565,594
HUKHB00425,風險骰子,個,NTD,新台幣,55,456.5636,456.5636,"25,111","26,376"
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,5,276.0000,276.0000,"1,380","1,450"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHB00725,壓克力場景組 B款（統治者的祝福）,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,4,209.7500,209.7500,839,880
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,7,210.0000,210.0000,"1,470","1,540"
HUKHB01125,角色壓克力立牌 (比司吉款）,個,NTD,新台幣,2,210.0000,210.0000,420,440
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,10,238.0000,238.0000,"2,380","2,500"
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,4,429.0000,429.0000,"1,716","1,800"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,2,276.0000,276.0000,552,580
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,10,276.0000,276.0000,"2,760","2,900"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,9,114.3333,114.3333,"1,029","1,080"
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,29,142.9310,142.9310,"4,145","4,350"
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,個,NTD,新台幣,53,209.6604,209.6604,"11,112","11,660"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,284,142.8873,142.8873,"40,580","42,600"
