產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHA00526,單人票,個,NTD,新台幣,28,752.4286,752.4286,"21,068","22,120"
HUKHA00626,三人票,個,NTD,新台幣,3,"2,143.0000","2,143.0000","6,429","6,750"
HUKHA00726,愛心票,個,NTD,新台幣,8,376.1250,376.1250,"3,009","3,160"
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,35,379.9714,379.9714,"13,299","13,965"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,1,143.0000,143.0000,143,150
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,5,94.2000,94.2000,471,495
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,11,276.0000,276.0000,"3,036","3,190"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,5,210.0000,210.0000,"1,050","1,100"
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,3,210.0000,210.0000,630,660
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,7,238.0000,238.0000,"1,666","1,750"
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,3,429.0000,429.0000,"1,287","1,350"
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,4,276.0000,276.0000,"1,104","1,160"
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,7,238.0000,238.0000,"1,666","1,750"
HUKHB02125,Q版壓克力飯友（10款隨機出貨）,個,NTD,新台幣,22,95.1818,95.1818,"2,094","2,200"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,5,114.2000,114.2000,571,600
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,23,143.0000,143.0000,"3,289","3,450"
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,個,NTD,新台幣,142,209.2183,209.2183,"29,709","31,185"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,282,142.8014,142.8014,"40,270","42,270"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,14,142.8571,142.8571,"2,000","2,100"
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,3,814.0000,814.0000,"2,442","2,563"
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,3,752.0000,752.0000,"2,256","2,370"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,4,"1,274.7500","1,274.7500","5,099","5,356"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,2,562.0000,562.0000,"1,124","1,180"
HUKHB03325,抽抽樂(一抽200),個,NTD,新台幣,50,190.2800,190.2800,"9,514","10,000"
HUKHB03425,貪婪之島集卡冊組合包,組,NTD,新台幣,16,809.5625,809.5625,"12,953","13,600"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,1,238.0000,238.0000,238,250
HUKHD00126,HunterxHunter T-shirt - L款,個,NTD,新台幣,1,848.0000,848.0000,848,890
HUKHD00425,獵人識別證套（一坪海岸線）,個,NTD,新台幣,1,267.0000,267.0000,267,280
HUKHD00626,角色手機掛繩 - 奇犽款,個,NTD,新台幣,2,428.5000,428.5000,857,900
HUKHD00826,角色手機掛繩 - 西索款,個,NTD,新台幣,1,427.0000,427.0000,427,450
HUKHD00926,獵人執照行李識別證套,個,NTD,新台幣,4,371.0000,371.0000,"1,484","1,560"
HUKHD01026,貪婪之島行李箱貼紙,個,NTD,新台幣,2,333.5000,333.5000,667,700
HUKHD01226,卡片相片機(阿拉丁),個,NTD,新台幣,6,47.6667,47.6667,286,300
HUKHD01526,大壓克力鑰匙圈-HunterA款(獵人執照),個,NTD,新台幣,9,152.0000,152.0000,"1,368","1,440"
HUKHD01626,大壓克力鑰匙圈-HunterB款(大天使的氣息),個,NTD,新台幣,7,152.1429,152.1429,"1,065","1,120"
HUKHD01826,風險骰子鑰匙圈-HunterA款,個,NTD,新台幣,12,361.9167,361.9167,"4,343","4,560"
HUKHD01926,風險骰子抱枕-HunterA款,個,NTD,新台幣,3,702.3333,702.3333,"2,107","2,213"
HUKHD02226,鎖鏈之鑰匙圈-HunterA款,個,NTD,新台幣,7,428.7143,428.7143,"3,001","3,150"
HUKHD02726,壓克力燈座-HunterA款(奇犽),個,NTD,新台幣,4,619.2500,619.2500,"2,477","2,600"
HUKHD02926,潮流全彩T-shirt(制約誓約)-Hunter_M,個,NTD,新台幣,1,743.0000,743.0000,743,780
HUKHD03726,拉霸吊飾鑰匙圈-HunterA款(小傑),個,NTD,新台幣,2,400.0000,400.0000,800,840
HUKHD04526,金屬造型徽章-HunterA款(獵人執照),個,NTD,新台幣,9,171.2222,171.2222,"1,541","1,620"
HUKHD04826,立體杯墊-HunterA款(蜘蛛),個,NTD,新台幣,2,267.0000,267.0000,534,560
